text,date,gender,dataset,title
"My memory of this dream is vague. I think the setting is on a college campus. I'm in a cafe and two elderly ladies walk in and start talking to me about a university that a guy I am dating got into for law school. They were saying that I was accepted. I thought that this information was weird because I didn't even apply to this school. I got the feeling that while I was talking to these ladies, that they were interviewing me as art of the orientation to go there. I was also pregnant in the dream and he cafe that I was in was a hospital cafe. The guy I am dating is in the dream and we were talking, but I'm not sure about what.
 ",1996-4-3,female,angie,Angie: age 18 & 20
"The scene of the dream was the same as the movie The Terminator. It featured my sister and mother and Arnold Schwartzenegger. We are in a neighborhood setting and I am outside playing on the street when a man drives up and asks me for directions and I tell him I am not familiar with the place he is asking about. He says, ""But you live around here and you should know."" The street he wanted happened to be the street we were on. Then the scene goes to a gym and I am confused about what is going on. Then I see Arnold and a big man with white hair talking at a table. Right before that I see a soap opera star on a nearby TV doing a commercial. My sister is with me and we are talking about the soap opera star. The actress's name is Lisa Rinna and she plays Billie Reed on Days of Our Lives. Then I see another soap star and this time it is an actress from General Hospital who plays Lois Quartermane. She is singing a Beatle's song, ""Yesterday."" Then I focused on Arnold and the man with white hair. They are in a grocery store that looks like a nightclub. The guy with white hair is referred to as the ""Boss"" man. He is telling Arnold to do something and Arnold doesn't want to do it. Then the ""Boss"" man starts to threaten Arnold, so Arnold gives in and does what the ""Boss"" man requests. Arnold commented on how much he liked Lois's singing and he got up and that's when I saw that one of Arnold's arms is robotic. It looked like he had just gotten into a fight and some of his flesh was peeled off and that's how I could see part of the robot arm. The ""Boss"" man got up after Arnold left and jumps for joy and starts to run out of the building. A pudgy little waiter or maybe the manager asks before he leaves is there anything more that he wanted. The ""Big"" man just laughs and says no. Then he runs out of the building. The floor started to shake and it seems like all of the people are going to fall through the floor, but they just vanish. This was a morbid thought for me because they just ceased to exist. The building then blew up, but it was then I saw that all the people have gotten out safely. I got the feeling that Arnold saved all the people that were in the restaurant.
 ",1996-4-4,female,angie,Angie: age 18 & 20
"I was in a mansion or more like a castle and there was a person who was supposed to be the devil in the castle. He was snapping his fingers and slitting people's throats. I was running away and riding my bike through my neighborhood. Then I arrive at the preschool where I am doing a field study, and I am a teacher and my students and I are playing a name song. When it gets to one of the male volunteers, he leans in and kisses me. I don't recognize his face, but I seem to know him. I have a strong physical attraction to this person and throughout the dream I hope he feels the same way. Then I am with the children again and we are running from some other children who are the devil. The devil looks like someone from Bach's era. He has a wide grin on his malicious-looking face. The children and I are escaping in a jeep, but have to leave the jeep and continue on foot. We are in a jungle now and I lose one of the children, which has me scared, but then I found the child again, alive and well.
 ",1996-4-5,female,angie,Angie: age 18 & 20
"This dream took place in the water. Two sisters wanted to be mermaids. So they turned into mermaids, but one of the sisters really wanted to have her sister's legs, so she took them. She returned them to their rightful owner after she was done using them. One of my sorority sisters whom I haven't seen in a while was also in my dream. She was telling me she was going to school in another state, and I told her that I had family there. I felt uncomfortable talking to her and I could sense tension between us. We had been taking care of some babies as we were talking and I felt like she didn't like me, or had something against me.
 ",1996-4-6,female,angie,Angie: age 18 & 20
"The guy that I have been dating was standing in his room naked with one of his housemates who is a girl, and someone whom he has previously slept with. She was lying on the floor, also naked. I walked into the room and as I saw them, they both told me not to worry, that nothing was going on. I believed them and said, ""OK,"" and walked out of the room.
 ",1996-4-8,female,angie,Angie: age 18 & 20
"I was Wonder Woman and I was throwing a lasso over people and making them tell the truth. In my dream I also saw an Asian girl who was pretending to be Wonder Woman, but I knew she was a fraud and everyone else around us knew she wasn't the real Wonder Woman. I threw a lasso over her so she would tell the truth. I wanted to help her.
 ",1996-4-10,female,angie,Angie: age 18 & 20
"It was the first day of classes for the quarter and I had the feeling that I was caught up with the workload and felt good about my knowledge of the class material. Then I was at the ocean and a sea animal was terrorizing the people and then she was caught.
 ",1996-4-14,female,angie,Angie: age 18 & 20
"This dream is very vague to me. I am in a house and I don't recognize it. The children that I work with at the preschool on campus are with me. I see my sister and I have the feeling that I am about to meet new people.
 ",1996-4-15,female,angie,Angie: age 18 & 20
"I dreamt I was in a dorm room and saying goodbye to someone I had been dating. He was going off to school. In the next scene the room was full of people and then suddenly empty again, except for a pile on the floor in the corner that consisted of a corkboard with old pictures of me on it. This room must have belonged to the guy I was seeing, because I thought it was unusual for him to have these pictures of me. He really liked these pictures, which made me feel like he was really going to miss me, which surprised me. He was trying to kiss me goodbye, but I hesitated because there was a carload of my friends looking at us, and they didn't approve of our relationship. He left and I went back into the room, and it was filled with things all of a sudden. Then my new roommate was there and a strange guy came out of the shower and took off his towel and I got a shocking eye-full. Then I went to my mom's house, where I found my dog; she is actually dead in reality.
 ",1996-4-16,female,angie,Angie: age 18 & 20
"I was in a back yard and it was raining. The back yard was sectioned off into two parts and the children that attend the preschool that I volunteer at are there. They started running towards a pool and I was struck with fear when I saw what the children were doing. I thought that they would fall into the pool and drown and that it would be my fault. I was afraid for their safety. The children told me it was OK for them to get so close to the pool, but I knew that it wasn't.
 ",1996-4-17,female,angie,Angie: age 18 & 20
